#{"t_start": 1678887424.609708, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-1231.0,305,841.730889,1001.905768063472,1331.7413568674924,1512.9234834089789,4111.204255565951,2854.196696980184,8.074267100977197,8.574267100977197
-2338.4,315,891.87198,1811.1153552954001,3706.6308111150993,0.0,6309.05849892319,3547.0442671392893,16.306624605678234,3294.364668769716
-1382.2,303,919.59754,1194.101146098953,2820.8825044226605,0.0,5965.154002700488,4377.994212823199,6.3619672131147595,2637.2150819672133
-1087.6,303,950.846376,812.2643374804366,257.4740015777779,0.0,0.0,0.0,3.620000000000008,9194.237049180329
-814.2,320,1002.69241,693.9636632910416,754.1492091934276,2313.614761095963,2213.3763500220803,2180.4747265374617,5.805279503105583,5.656521739130435
-420.0,304,1036.522811,356.4341104293132,351.96368060463334,1380.3457668997567,1214.4515421371973,1427.849173412044,2.4137254901960783,6.247385620915036
-519.6,309,1072.103887,439.3785048600925,423.4073897286194,1488.4336000213502,1376.7585452463827,2007.117021127922,3.161736334405144,7.182636655948556
-620.2,305,1108.609643,388.79580372329576,361.3739607825767,1067.707664767461,1587.4169145014118,2090.7275594145985,3.7654723127035847,7.754397394136808
-490.4,306,1144.431236,391.0696227893417,386.01525123573526,1295.801267852862,1623.344344558754,1730.2858972959766,2.6678571428571427,8.34025974025974
-1201.0,303,1176.541521,1661.0266701728779,1560.0482810610765,1730.071004317702,4517.969396027646,3813.8519779918824,6.7413114754098284,8.988196721311471
-230.2,302,1213.38262,372.74797273653314,326.72885325640686,731.4266308376657,1009.213224824639,1139.9411779118236,0.27236842105263176,731.9509868421052
-286.0,316,1251.843852,414.0634370265291,363.23413362731947,777.1657210571444,1174.5084513696677,977.1494305087415,1.616037735849057,6.132704402515722
-344.8,316,1288.204921,384.923908497337,381.53039754277944,916.2589369225575,1452.9232646766945,1297.1548806581052,1.8066037735849052,5.785220125786162
-478.4,326,1325.51692,446.50563069142066,448.5994153057406,1011.0735007095559,1782.4936551838,1239.0122534460486,2.924695121951218,5.7926829268292686
-1782.4,315,1365.852716,1244.8898462814368,229.57463213315654,0.0,0.0,0.0,12.38012618296532,9902.573186119873
-455.2,303,1397.809053,431.82746014882343,328.0284639688125,0.0,0.0,0.0,0.27836065573770463,9047.90393442623
-1071.2,306,1429.375409,797.3285355675634,384.7801590919083,0.0,0.0,0.0,4.313636363636363,9150.187012987013
-276.4,306,1458.756047,372.3102077705626,351.93477395361333,902.057034728689,1052.5305217227149,1082.1520545115725,0.993506493506493,8.824675324675328
-353.0,317,1496.200721,380.4244856164417,331.1928387532446,934.6278884245165,1104.8019840784923,1083.9982633160096,1.8137931034482748,8.21849529780564
-827.2,325,1531.74496,625.2576234003171,520.5098735523214,1927.807651617237,2671.449962429471,1433.5998921309174,5.659327217125377,13.96483180428134
-432.9,308,1565.987103,381.5257321746683,340.79785023061436,1233.57488389907,1319.9685830411745,1257.1239192813175,1.908709677419355,7.426129032258071
-174.0,305,1606.858612,357.4395218449929,360.66978066534983,756.6689245103014,1184.1768039608116,1055.198808908341,0.9983713355048862,20.428013029315974
-197.0,310,1647.835841,375.5343967732707,356.6482736651186,840.1073102016575,1091.2543980437158,933.732066029862,0.9483974358974354,7.860576923076928
-675.5,330,1690.758733,631.0568616310067,566.191724796875,1131.0495845016687,2536.948713400727,1770.2245017788023,3.7683734939758997,11.395481927710836
-342.2,309,1729.790538,438.560618761568,348.6994573746548,1045.7052348607067,1167.1023146742473,1199.987073207602,1.7430868167202573,18.843729903536993
-281.8,313,1771.298335,382.8319003577612,363.6976426820737,831.9861604048431,1405.7805787305663,1182.7539988731141,1.7288888888888887,5.132063492063492
-268.3,321,1813.000237,416.43805629586564,349.8230413755722,829.9287624952952,1170.2084182655894,1159.7175515142821,1.7578947368421054,9.448916408668728
-608.4,309,1886.469938,639.414553398758,331.08683570939553,0.0,493.20369178762667,819.0018412287285,2.22861736334405,2473.4588424437297
-490.9,305,1922.737852,466.43754670704874,251.6226976022465,0.0,1164.4130261138312,0.0,0.6410423452768726,6913.9387622149825
-1107.0,313,1959.259307,983.553698127299,332.2706319177624,0.0,716.5296614402246,646.9026506545388,6.511746031746036,3640.6784126984135
-152.4,303,2003.077274,396.60126458901607,345.4884799898633,831.2024769449592,1002.1310597991426,1151.3207122902593,0.7527868852459012,14.779344262295087
-230.9,306,2045.133772,400.86036026478166,342.32077283519016,930.8652421826991,1048.1953444069304,1007.6156105542295,0.868831168831169,29.48798701298701
-789.6,310,2087.588996,464.1354555257931,364.522160623242,1568.2145939721222,2092.467063582204,2361.138254992078,5.438461538461533,7.489743589743591
-326.4,303,2127.95285,403.2035645797022,377.031688095368,961.4899185780052,1321.7087252239287,1752.2106299592392,2.0662295081967237,9.490163934426233
-389.8,307,2170.452899,436.6308887346284,345.70879162963485,1182.883120678869,1363.366461550193,1219.7039177538413,2.3928802588996767,12.483495145631068
-255.4,308,2210.648937,393.4926127010965,358.9033319339268,892.2062896478528,1161.061965549682,1064.0973953216494,1.1758064516129036,4.608064516129036
-225.2,313,2251.947735,360.44625415696703,356.7866564039393,761.1532499107531,1042.1680184818074,1001.3822903552538,1.0460317460317456,4.5260317460317445
-454.6,313,2292.274797,412.2662158509786,435.03302703987185,1013.4069785387995,1612.4259568831549,1176.5847170660963,2.6466666666666634,23.51650793650793
-264.6,305,2333.60004,350.7628616099125,352.1627785582197,952.4313616114919,1137.0340591975707,1217.1291696910853,1.3042345276872964,35.907817589576524
-255.5,310,2375.323756,402.43817239258084,355.0355174435156,827.0272820028271,1118.2087339533293,1177.7589535768743,1.280448717948719,14.641987179487174
-2059.8,340,2432.70811,1458.667790556399,331.0585296872177,597.2286292332149,8298.305049061828,593.0522953562553,9.119298245614065,3829.1967836257313
-2576.8,341,2466.328946,2767.931929230872,285.9685290288925,390.51937533916,9566.149402946407,0.0,11.336151603498603,7052.454518950436
