#{"t_start": 1686910036.6719818, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-56.0,357,25.552906,5095.123641165311,3731.243053490976,6286.643024077803,5788.231831076882,4914.079294542288,11.443454038997201,5.861002785515327
-36.0,357,56.019406,3640.0038968539293,3507.7618923370137,6895.737397348497,6143.155833861248,5377.73321546583,9.833147632311976,22.79916434540391
-30.0,361,86.048117,3818.405787104012,3626.149634100886,5759.339595230899,6055.397684880737,5254.0961408112735,12.637741046831971,7.983746556473826
-12.0,356,120.115308,1127.5700609028606,1508.7335473790222,2317.300626108579,3274.2400119203294,3717.768986009013,5.561731843575418,13.974301675977658
-22.0,311,155.416607,368.72892504864626,340.47751114508407,659.1573112020714,832.8525873637285,906.3189517869831,0.5335463258785943,13.983386581469661
-41.0,332,192.308775,712.0455532653096,772.8470714189218,1966.7397614869276,2186.822203133072,2098.906330455288,5.70089820359281,8.419461077844316
-26.0,327,226.615349,577.3807216524053,678.0844189453569,1988.772501566761,2682.4214016975416,2208.153394559359,7.197568389057746,6.381458966565353
-25.0,324,263.170531,590.9416412137513,512.754518346337,1317.9343481400283,2034.0358243304918,1888.2606746250808,5.222085889570547,7.899386503067473
-134.0,303,305.881747,388.38836930571557,349.9951858057556,0.0,0.0,0.0,0.06622950819672123,7970.130819672134
-133.0,302,339.382937,387.93541051439337,347.97737440313506,0.0,0.0,0.0,0.06414473684210519,7942.818092105263
-29.0,302,367.491912,350.821313328964,351.4624980902335,1310.6356245956306,1659.0225242019496,1481.4498500444286,2.9394736842105256,7.496381578947369
-16.0,322,402.129118,457.40707582550255,440.3012724415813,1192.1388805624524,1649.9256046382745,1797.7529436270345,3.4024691358024666,4.928395061728393
-21.0,304,437.584214,413.3963421294845,376.7229128448637,1291.2597750337136,1420.1660949829482,1494.8023980334508,3.232026143790846,6.250326797385619
-16.0,306,473.558484,578.0514507099193,506.83715332342956,1761.5552237817942,1925.6824208561086,1719.6284649600432,4.738311688311682,8.213636363636358
-20.0,346,512.076623,994.313626751647,942.8414824500333,2488.238819660329,2961.098645264946,2074.998118599383,6.566379310344818,25.148850574712647
-20.0,312,542.929724,1377.1317814989818,1166.350207831202,2872.7468477983125,3795.3461520986903,2486.1244260457224,7.304458598726117,28.96496815286624
-45.0,307,580.226497,376.3953799307523,362.1116689669853,1153.0821733504827,1258.0197737697306,1366.691455804611,2.099029126213594,21.329449838187706
-14.0,308,617.359434,397.2837673319759,356.75229824250493,985.8732790122823,1666.2494509752225,1576.9511535332113,2.9616129032258045,17.938064516129035
-219.0,304,664.101156,0.0,364.0998419018538,0.0,0.0,0.0,0.06339869281045744,9313.104901960784
-224.0,303,697.047951,404.02853121045996,364.65021774351834,0.0,0.0,0.0,0.0649180327868852,9133.7068852459
-31.0,325,757.850441,472.8482883358564,447.4127857190804,1143.3153776836045,1415.7311837969712,1387.61531931633,2.898776758409783,12.648318042813461
-24.0,303,794.203907,393.42471368002765,413.5205519818298,1349.7230139451922,2015.2359352346896,1579.1618353652932,4.369180327868851,20.84262295081968
-20.0,351,832.64417,1391.7476430825031,1461.6482047223774,2673.600442787195,3848.9073808373614,2448.242208614503,6.854390934844205,8.793484419263452
-26.0,303,866.104888,387.83554272790224,363.2219956403955,981.1715989713198,1265.9464378537682,1223.2149843132436,1.208196721311475,22.66885245901639
-29.0,339,895.438385,837.275609512441,672.8134553536801,2036.3738211732998,2643.097399703514,2263.615455421694,7.967741935483871,4.682111436950147
-38.0,303,923.811396,399.010843188734,358.32732568155575,1054.4063200076464,1175.9255923718435,1251.365524953759,1.4272131147540983,5.5957377049180375
-26.0,307,952.79566,389.50493794197837,355.18391432730317,1088.6744184576612,1167.187403550747,1203.689385622462,1.4417475728155345,7.73559870550162
-30.0,316,981.638443,629.8340372984044,553.3462893165738,1537.0277066571816,2490.1817288266348,1755.5215556982048,5.358176100628924,9.875157232704396
-65.0,363,1004.428935,6043.1239848911,5762.309582888011,7692.70050455348,8275.97807866087,6552.164114964897,11.81972602739728,6.742465753424662
-54.0,348,1027.845561,3522.88608494902,4326.234461865951,6174.482379227618,7292.043502828167,5058.0924223001675,10.065714285714307,4.977428571428573
-58.0,371,1053.004062,4887.456985552975,3096.4291563133474,7418.732314843993,6411.82069196527,5199.990471637714,13.79168900804289,5.736729222520115
-44.0,364,1078.789689,3872.4828922121014,3348.8102682166436,5578.681304812669,4605.766528702975,5000.695472028362,10.763114754098345,9.079781420765038
-80.0,377,1104.614321,2651.366285612687,3222.7362881090166,4891.880484591985,4731.739624932005,4212.693099920806,9.936939313984176,8.759366754617428
