#{"t_start": 1678706404.2886567, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-187.0,302,766.039582,397.1128480279459,336.2882879816638,0.0,0.0,0.0,-34.435446853496735,-23520.43704199698
-180.0,302,793.699604,405.8402053326524,335.3864469915429,0.0,0.0,0.0,-33.64152862450202,-23677.140220279478
-209.0,302,821.439765,355.17936560509975,339.86669105579017,0.0,0.0,0.0,-31.05875601350748,-24360.06791139687
-53.0,302,870.913785,370.48129910111015,337.5960194860676,602.2398129981864,769.2200804295526,968.3100305121668,-72.71232905154952,-930.287920238306
-520.5,341,904.783705,487.8700294804425,1140.9827725117827,2253.065763525419,4393.518688052597,2439.3084615218477,-553.7501697915719,-1790.190682082952
-215.9,306,935.443469,382.75774361243947,337.8848194323304,1352.9891898529086,1197.4110993334511,1050.1982000362825,-266.45122556375344,-1173.968887819963
-664.5,353,972.421561,423.8690818995656,858.5519054592745,3081.1091499991016,3652.667842488617,3392.1775258573743,-638.5438997914132,-1241.6209380200362
-334.4,306,1000.725827,367.06944270191644,676.5036336843198,2402.999728731833,2517.2517632064523,1753.5041408977484,-354.74820024271025,-1566.9050424426384
-411.2,333,1033.390441,518.6974601756676,956.29074244938,1909.673298408115,2515.7392978906755,1901.570071883034,-445.7537545980649,-1353.889017675385
-735.9,369,1065.614186,1451.9028157100852,601.2232828697792,3868.7393600104283,3583.9569435811995,2958.9226560859424,-795.7999349913822,-927.1666946807815
-252.5,324,1093.904187,380.387381461572,371.86350275130997,1247.0870652819572,1322.997451998556,1367.4337454131933,-340.1521530682705,-1282.6924015311326
-973.5,377,1125.990467,1575.4797558617518,686.8145471795508,5013.195772560607,3663.154866307676,3796.895215283263,-885.7750257076999,-1076.3109398130457
-683.9,375,1154.281501,763.3473191610109,449.03206393636987,4126.429130639298,3234.01497297759,2933.8069215483797,-716.0087128533894,-1010.6250588259076
-215.0,302,1181.66588,381.5607253159571,335.05232340223927,0.0,0.0,660.4939337465134,-30.85773808949706,-20358.61731005153
-182.0,302,1207.101873,398.3863393510971,332.14862546807336,0.0,0.0,651.4003253332139,-30.61154241800752,-14444.017173461263
-214.0,302,1232.929124,392.65456898883616,336.2912985055985,0.0,0.0,0.0,-31.05875601350748,-24465.05013541475
-753.8,367,1259.238381,1187.7504086892782,614.8530852681126,3880.332520997233,3748.1055957098515,3204.697636253177,-852.0266601885322,-1010.2471582049984
-306.7,326,1285.562921,496.4248480494808,371.35791086335075,1475.5324819272557,1989.6668648401208,1495.0555283472165,-425.3620121605059,-959.3384260986476
-638.1,342,1315.714468,1345.6292254655762,1126.8252593342431,4189.05491122908,7033.697644373164,2752.5220174592405,-684.0343274986404,-833.0859156741262
-258.2,318,1345.947668,393.1569980766821,384.84833561543985,1423.9910205916744,1667.3489480337344,1225.5283272285021,-386.8774419573949,-672.7295407061887
-394.1,333,1378.164956,429.98165609366697,377.92034398173314,1834.7474390301431,2757.590966682753,1677.5233467369715,-534.988001729046,-1018.4618248206328
-568.3,362,1413.40086,844.8221945130266,372.21311998051436,2210.1523485896428,2549.583846477603,2687.709755188515,-590.483331060276,-1011.2927063503776
-255.6,304,1440.565961,380.0231628752344,349.4121760196016,1449.361074587009,1851.9761280531388,1541.9693142878668,-364.3934216801339,-1268.1903153124626
-55.4,304,1474.589828,370.71593469769374,349.88797520788603,626.7993050370303,719.2882407957622,810.0177495804613,-84.54090045855888,-787.8800319776117
-150.7,309,1508.859148,358.7730742714936,334.3660060464604,980.8523575529499,1198.2841100018761,1282.5862027516432,-254.68967600378465,-1000.7527280528882
-100.1,311,1541.999301,372.9692686503154,313.030107224544,881.5648609773635,899.7839804238691,1232.0586797091776,-194.87165888540778,-1227.7437876688582
-184.6,303,1599.072912,433.91277425506763,325.3928467225189,0.0,0.0,0.0,-104.94950823300596,-23853.221519211143
-143.0,302,1626.170339,530.2604617728102,331.7478681370861,0.0,0.0,0.0,-82.7594235185788,-23463.02082893772
-136.0,302,1653.170277,408.90394581172546,340.78118884757595,0.0,0.0,0.0,-44.8771997265271,-23465.131395598266
-295.4,326,1689.646651,442.28518794338373,354.7566047020134,1232.7094701870024,1992.1359268531053,1796.300303156724,-470.91359806835703,-891.5009162534428
-66.5,303,1719.417258,356.7172264999596,324.8596968569835,780.4526568913482,898.898989855029,968.1434862535718,-150.71572416844694,-932.8198350276164
-53.9,304,1753.091666,373.733967842052,340.52417589789235,730.8707559984541,1039.609392758072,939.8766075955806,-159.98464919289245,-785.0382211224284
-86.1,304,1784.337249,378.06413427970614,314.6940270129851,834.6874473725529,1340.5810704909122,1045.9031444332174,-176.70372317713375,-1256.5338973428986
-115.0,305,1815.615841,384.8753377810131,319.000760254053,773.8023582781018,1325.3825530837155,1403.309214234554,-221.20242693604155,-929.2849738009035
-36.8,302,1848.137705,350.94152976444883,339.23445955525216,613.3455672061428,824.121418914431,913.656804323532,-75.83544677802948,-1109.502085001849
-88.4,311,1882.51656,369.1035090513203,309.104387464489,771.4865986357174,907.8897411364784,1078.402991654501,-175.97893586903757,-890.3527537076415
-39.0,302,1916.149168,373.42739147124576,304.778380608238,623.25846790582,775.3236299886418,860.2515822608281,-59.43179450407554,-1449.4146678575212
